Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3319		0.9767		0.0000		0.2218		0.00050000
2		0.8984		0.8498		0.0000		0.2461		0.00049099
3		0.7830		0.7795		0.0000		0.2677		0.00048196
4		0.7194		0.7020		0.0000		0.2856		0.00047292
5		0.6639		0.6791		0.0000		0.3197		0.00046385
6		0.6277		0.6527		0.0000		0.3294		0.00045477
7		0.5919		0.6001		0.0000		0.3449		0.00044566
8		0.5709		0.6061		0.0000		0.3396		0.00043653
9		0.5471		0.5978		0.0000		0.3507		0.00042739
10		0.5331		0.5530		0.0000		0.3763		0.00041822
11		0.5141		0.5295		0.0000		0.3861		0.00040903
12		0.4971		0.5593		0.0000		0.3754		0.00039981
13		0.4804		0.5136		0.0000		0.3955		0.00039057
14		0.4699		0.4984		0.0000		0.4097		0.00038131
15		0.4644		0.4960		0.0000		0.4128		0.00037202
16		0.4528		0.4954		0.0000		0.4072		0.00036271
17		0.4423		0.4959		0.0000		0.4049		0.00035337
18		0.4360		0.4900		0.0000		0.4175		0.00034400
19		0.4234		0.4818		0.0000		0.4274		0.00033460
20		0.4145		0.4660		0.0000		0.4370		0.00032518
21		0.4112		0.4562		0.0000		0.4379		0.00031572
22		0.4046		0.4554		0.0000		0.4382		0.00030624
23		0.3974		0.4841		0.0000		0.4380		0.00029671
24		0.3905		0.4280		0.0000		0.4570		0.00028716
